Student del resid,h,dffits,DFBETAS (Intercept),DFBETAS brandbmw,DFBETAS brandford,DFBETAS brandhyundi,DFBETAS brandvauxhall,DFBETAS transmissionManual,DFBETAS mileage,DFBETAS fuelTypePetrol,DFBETAS engineSize
,1728,1866,2482,2341,2006,3737,4884,2864,2467,1866,2913
,1741,1877,2485,2344,2012,3754,,2940,2494,1878,2915
,1742,1878,2501,2357,2029,3772,,2943,2501,1908,2927
,1746,1908,2508,2362,2042,3782,,2960,2523,1929,2943
,1755,1924,2535,2375,2054,3800,,2999,2553,1941,2954
,1759,1940,2552,2380,2070,3825,,3012,2573,1954,2961
,1767,1941,2573,2394,2088,3849,,3015,2591,1977,3015
,1817,1958,2577,2406,2097,3850,,3030,2597,1983,3030
,1823,1960,2597,2432,2104,3876,,3058,2599,2050,3035
,1831,1977,2619,2438,2105,3884,,3063,2609,2091,3036
,1853,1999,2636,2482,2114,3899,,3092,2639,2097,3053
,1871,2017,2639,2501,2129,3900,,3103,2678,2099,3059
,1895,2019,2659,2508,2136,3941,,3132,2680,2104,3063
